TIME,Aerosiol_back_scatter_ratio,EESC,solar_flux,QBO_30,QBO_50
1992/01,0.1483,1795,1896,727,-21
1992/02,0.1494,1795,2038,831,-10
1992/03,0.1428,1795,1527,1031,-9
1992/04,0.1386,1795,1437,1020,-48
1992/05,0.1379,1795,1153,881,-159
1992/06,0.1265,1795,1084,889,-214
1992/07,0.1228,1795,1228,875,-243
1992/08,0.1141,1795,1126,938,-259
1992/09,0.1044,1795,1062,1223,-253
1992/10,0.0978,1795,1177,1227,-239
1992/11,0.0918,1795,1278,1348,-90
1992/12,0.0793,1795,1213,1232,44
1993/01,0.0743,1847,1054,155,74
1993/02,0.0661,1847,1252,164,86
1993/03,0.0608,1847,1215,170,78
1993/04,0.0559,1847,1050,112,91
1993/05,0.0525,1847,1034,108,118
1993/06,0.0482,1847,1015,48,100
1993/07,0.0445,1847,920,-10,86
1993/08,0.0425,1847,864,-8,83
1993/09,0.0394,1847,791,-44,103
1993/10,0.0376,1847,897,-111,89
1993/11,0.035,1847,844,-205,103
1993/12,0.0312,1847,914,-240,83
1994/01,0.0285,1889,1002,-251,84
1994/02,0.0265,1889,875,-265,66
1994/03,0.0238,1889,805,-291,74
1994/04,0.0218,1889,717,-298,34
1994/05,0.0205,1889,735,-318,-97
1994/06,0.0185,1889,718,-328,-211
1994/07,0.0179,1889,748,-338,-248
1994/08,0.0173,1889,702,-336,-269
1994/09,0.0161,1889,719,-271,-278
1994/10,0.0166,1889,784,-9,-280
1994/11,0.0159,1889,721,109,-243
1994/12,0.016,1889,673,167,-64
1995/01,0.012,1918,720,178,26
1995/02,0.0117,1918,751,115,25
1995/03,0.0109,1918,758,86,48
1995/04,0.01,1918,704,110,58
1995/05,0.01,1918,694,155,112
1995/06,0.0093,1918,703,151,120
1995/07,0.0094,1918,687,125,106
1995/08,0.0087,1918,681,72,99
1995/09,0.0085,1918,655,34,102
1995/10,0.0088,1918,697,-32,102
1995/11,0.0086,1918,653,-131,97
1995/12,0.0077,1918,633,-169,98
1996/01,0.0074,1933,649,-183,26
1996/02,0.0072,1933,628,-202,25
1996/03,0.0068,1933,630,-239,48
1996/04,0.0063,1933,629,-277,58
1996/05,0.0067,1933,645,-307,112
1996/06,0.006,1933,646,-330,120
1996/07,0.0066,1933,662,-325,106
1996/08,0.0062,1933,668,-346,99
1996/09,0.0059,1933,631,-355,102
1996/10,0.0064,1933,619,-349,102
1996/11,0.0064,1933,692,-284,97
1996/12,0.0061,1933,678,-56,98
1997/01,0.006,1936,645,22,-185
1997/02,0.0057,1936,648,100,-183
1997/03,0.0053,1936,655,106,-192
1997/04,0.0052,1936,675,151,-36
1997/05,0.0055,1936,686,151,35
1997/06,0.005,1936,666,167,118
1997/07,0.0054,1936,661,141,137
1997/08,0.0051,1936,729,114,137
1997/09,0.0053,1936,875,97,122
1997/10,0.0051,1936,759,75,99
1997/11,0.0047,1936,876,15,122
1997/12,0.0043,1936,861,-49,68
1998/01,0.004,1929,814,-50,80
1998/02,0.0037,1929,820,-57,103
1998/03,0.0034,1929,972,-127,82
1998/04,0.0031,1929,981,-253,103
1998/05,0.0029,1929,981,-280,-60
1998/06,0.0027,1929,1006,-297,-172
1998/07,0.0025,1929,1059,-308,-214
1998/08,0.0024,1929,1225,-321,-230
1998/09,0.0023,1929,1258,-311,-237
1998/10,0.0022,1929,1049,-292,-231
1998/11,0.0022,1929,1234,-68,-238
1998/12,0.0022,1929,1309,70,-239
1999/01,0.0022,1919,1243,99,-237
1999/02,0.0022,1919,1247,131,-167
1999/03,0.0021,1919,1124,98,3
1999/04,0.0021,1919,1062,140,50
1999/05,0.0021,1919,1369,126,52
1999/06,0.0021,1919,1576,137,101
1999/07,0.0021,1919,1539,111,85
1999/08,0.0021,1919,1575,110,100
1999/09,0.0021,1919,1235,101,100
1999/10,0.0021,1919,1474,91,125
1999/11,0.0021,1919,1686,47,110
1999/12,0.0021,1919,1480,61,122
2000/01,0.0021,1909,1378,74,123
2000/02,0.0021,1909,1522,95,124
2000/03,0.0021,1909,1855,113,134
2000/04,0.0021,1909,1669,61,127
2000/05,0.0021,1909,1699,-71,140
2000/06,0.0021,1909,1670,-227,143
2000/07,0.0021,1909,1902,-282,127
2000/08,0.0021,1909,1504,-294,124
2000/09,0.0021,1909,1654,-288,112
2000/10,0.0021,1909,1499,-275,70
2000/11,0.0021,1909,1574,-253,52
2000/12,0.0021,1909,1514,-259,40
2001/01,0.0021,1892,-1,-284,59
2001/02,0.0021,1892,-1,-272,51
2001/03,0.0021,1892,-1,-269,56
2001/04,0.0021,1892,-1,-309,52
2001/05,0.0021,1892,-1,-318,-5
2001/06,0.0021,1892,-1,-331,-80
2001/07,0.0021,1892,-1,-349,-158
2001/08,0.0021,1892,-1,-354,-184
2001/09,0.0021,1892,-1,-307,-202
2001/10,0.0021,1892,-1,-136,-199
2001/11,0.0021,1892,-1,21,-205
2001/12,0.0022,1892,-1,140,-205
2002/01,0.0021,1867,1981,118,-185
2002/02,0.0021,1867,1801,148,-100
2002/03,0.002,1867,1606,158,43
2002/04,0.002,1867,1720,129,99
2002/05,0.0019,1867,1642,133,115
2002/06,0.0019,1867,1380,92,92
2002/07,0.0016,1867,1612,103,85
2002/08,0.0021,1867,1696,83,87
2002/09,0.0022,1867,1600,65,80
2002/10,0.0022,1867,1493,41,92
2002/11,0.0024,1867,1486,-42,68
2002/12,0.0026,1867,1370,-41,67
2003/01,0.0028,1841,1255,-14,58
2003/02,0.0028,1841,1093,-2,63
2003/03,0.0026,1841,1177,-73,47
2003/04,0.0026,1841,1144,-194,59
2003/05,0.0025,1841,1069,-269,47
2003/06,0.0025,1841,1201,-288,14
2003/07,0.0026,1841,1187,-313,-29
2003/08,0.0028,1841,1126,-318,-85
2003/09,0.0029,1841,1021,-313,-102
2003/10,0.0028,1841,1351,-312,-133
2003/11,0.0028,1841,1239,-321,-164
2003/12,0.0027,1841,1003,-165,-180
2004/01,0.0025,1817,-1,-16,-204
2004/02,0.0024,1817,-1,78,-192
2004/03,0.0024,1817,-1,112,-177
2004/04,0.0024,1817,-1,126,11
2004/05,0.0022,1817,-1,120,89
2004/06,0.0022,1817,-1,95,112
2004/07,0.0023,1817,-1,90,108
2004/08,0.0025,1817,-1,98,74
2004/09,0.0025,1817,-1,88,70
2004/10,0.0025,1817,-1,73,92
2004/11,0.0025,1817,-1,48,56
2004/12,0.0027,1817,-1,14,67
2005/01,0.0029,1796,891,-18,55
2005/02,0.0031,1796,854,18,98
2005/03,0.0034,1796,801,-9,146
2005/04,0.0035,1796,780,-178,85
2005/05,0.0034,1796,916,-266,82
2005/06,0.0033,1796,870,-286,-12
2005/07,0.0033,1796,897,-309,-71
2005/08,0.0036,1796,835,-316,-120
2005/09,0.0037,1796,829,-318,-144
2005/10,0.0037,1796,685,-320,-173
2005/11,0.0037,1796,759,-333,-173
2005/12,0.0036,1796,791,-324,-198
2006/01,0.0034,1776,727,-288,-152
2006/02,0.0033,1776,672,-93,-138
2006/03,0.0032,1776,672,83,-154
2006/04,0.0032,1776,807,85,-201
2006/05,0.003,1776,744,106,-71
2006/06,0.0033,1776,710,123,79
2006/07,0.0038,1776,705,126,107
2006/08,0.0041,1776,733,71,86
2006/09,0.0043,1776,708,109,109
2006/10,0.0044,1776,664,93,92
2006/11,0.0049,1776,760,89,104
2006/12,0.0054,1776,737,73,124
2007/01,0.0054,1758,727,54,96
2007/02,0.0051,1758,682,53,111
2007/03,0.0045,1758,644,14,103
2007/04,0.0045,1758,656,-147,128
2007/05,0.0041,1758,684,-253,92
2007/06,0.004,1758,684,-297,-39
2007/07,0.004,1758,666,-313,-100
2007/08,0.0041,1758,638,-316,-151
2007/09,0.0042,1758,610,-321,-162
2007/10,0.0041,1758,604,-316,-175
2007/11,0.0042,1758,613,-320,-204
2007/12,0.004,1758,685,-265,-200
2008/01,0.0038,1740,647,-126,-190
2008/02,0.0036,1740,625,38,-187
2008/03,0.0034,1740,650,112,-208
2008/04,0.0033,1740,636,124,-199
2008/05,0.0031,1740,629,124,-10
2008/06,0.0031,1740,612,157,53
2008/07,0.0033,1740,610,135,116
2008/08,0.0036,1740,612,118,79
2008/09,0.0043,1740,611,105,65
2008/10,0.0046,1740,610,93,83
2008/11,0.0048,1740,604,75,72
2008/12,0.0046,1740,603,111,90
2009/01,0.0042,1724,608,119,118
2009/02,0.0039,1724,615,155,149
2009/03,0.004,1724,617,118,98
2009/04,0.0038,1724,632,103,134
2009/05,0.0036,1724,649,32,145
2009/06,0.0036,1724,637,-134,100
2009/07,0.0051,1724,634,-227,98
2009/08,0.0062,1724,621,-218,82
2009/09,0.0062,1724,641,-220,112
2009/10,0.0056,1724,647,-199,105
2009/11,0.0053,1724,648,-252,83
2009/12,0.0046,1724,669,-259,104
2010/01,0.0041,1705,706,-265,58
2010/02,0.0037,1705,744,-272,51
2010/03,0.0033,1705,743,-269,-8
2010/04,0.0034,1705,688,-272,-159
2010/05,0.0032,1705,679,-263,-234
2010/06,0.0032,1705,673,-285,-235
2010/07,0.0033,1705,742,-59,-278
2010/08,0.0035,1705,734,117,-178
2010/09,0.0035,1705,737,134,38
2010/10,0.0034,1705,730,116,77
2010/11,0.0037,1705,726,118,72
2010/12,0.0045,1705,735,83,76
2011/01,0.0044,1687,727,97,45
2011/02,0.0041,1687,831,97,52
2011/03,0.0037,1687,1031,101,58
2011/04,0.0035,1687,1020,92,53
2011/05,0.0034,1687,881,96,97
2011/06,0.0034,1687,889,70,127
2011/07,0.0052,1687,875,9,99
2011/08,0.0068,1687,938,25,126
2011/09,0.0067,1687,1223,-32,118
2011/10,0.0064,1687,1227,-75,107
2011/11,0.006,1687,1348,-189,101
2011/12,0.0055,1687,1232,-239,59
